hs4,product_name_short,product_name_short_es,translation_status,translation_source,notes
0408,Egg yolks,Yemas de huevo,pending_manual_validation,rule_based,
0409,Honey,Miel,pending_manual_validation,rule_based,
0410,"Edible animal products, n.e.c.","Productos animales comestibles, n.e.p.",pending_manual_validation,rule_based,
0501,"Human hair, unworked",Cabello humano en bruto,manual_validated,manual_master_review,curated_llm_manual_review
0502,Brushmaking hair,Pelo para cepillería,manual_validated,manual_master_review,curated_llm_manual_review
0503,Horsehair,Crin,manual_validated,manual_master_review,curated_llm_manual_review
0504,"Animal guts, except fish","Tripas de animales, excepto pescado",manual_validated,manual_master_review,curated_llm_manual_review
0505,Feathers and down,Plumas y plumón,manual_validated,manual_master_review,curated_llm_manual_review
0506,"Bones, simply prepared",Huesos simplemente preparados,manual_validated,manual_master_review,curated_llm_manual_review
0507,Whalebone & horns,Barbas de ballena y cuernos,manual_validated,manual_master_review,curated_llm_manual_review
0508,Coral and shells,Coral y conchas,manual_validated,manual_master_review,curated_llm_manual_review
0509,Sponges of animal origin,Esponjas de origen animal,pending_manual_validation,rule_based,
0510,Animal products used in pharmaceuticals,Productos animales utilizados en productos farmacéuticos,pending_manual_validation,rule_based,
0511,Animal products n.e.c.,Productos animales n.e.p.,pending_manual_validation,rule_based,
0601,Flower bulbs,Bulbos florales,manual_validated,manual_master_review,curated_llm_manual_review
0602,Other live plants,Las demás plantas vivas,manual_validated,manual_master_review,curated_llm_manual_review
0603,Cut flowers,Flores cortadas,pending_manual_validation,rule_based,
0604,Other parts of plants,Las demás partes de plantas,manual_validated,manual_master_review,curated_llm_manual_review
0701,Potatoes,Papas,pending_manual_validation,rule_based,
0702,Tomatoes,Tomates,pending_manual_validation,rule_based,
0703,"Onions, shallots, garlic","Cebollas, chalotes y ajos",manual_validated,manual_master_review,curated_llm_manual_review
0704,"Cabbages, cauliflowers, broccoli","Coles, coliflores y brócoli",manual_validated,manual_master_review,curated_llm_manual_review
0705,Lettuce,Lechuga,manual_validated,manual_master_review,curated_llm_manual_review
0706,Carrots & turnips,Zanahorias y nabos,manual_validated,manual_master_review,curated_llm_manual_review
0707,Cucumbers,Pepinos,manual_validated,manual_master_review,curated_llm_manual_review
0708,Legumes,Legumbres,pending_manual_validation,rule_based,
0709,Other vegetables,Las demás hortalizas,manual_validated,manual_master_review,curated_llm_manual_review
0710,Frozen vegetables,Hortalizas congeladas,manual_validated,manual_master_review,curated_llm_manual_review
0711,"Vegetables, provisionally preserved",Hortalizas conservadas provisionalmente,manual_validated,manual_master_review,curated_llm_manual_review
0712,"Vegetables, dried",Hortalizas secas,manual_validated,manual_master_review,curated_llm_manual_review
0713,"Legumes, dried",Legumbres secas,manual_validated,manual_master_review,curated_llm_manual_review
0714,Tubers,Tubérculos,manual_validated,manual_master_review,curated_llm_manual_review
0801,Cashew nuts & coconuts,Anacardos y cocos,pending_manual_validation,rule_based,
0802,Other nuts,Otros frutos secos,pending_manual_validation,rule_based,
0803,Bananas and plantains,Bananas y plátanos,pending_manual_validation,rule_based,
0804,"Avocados, pineapples, mangos, etc.","Aguacates, piñas, mangos, etc.",pending_manual_validation,rule_based,
0805,Citrus fruit,Frutas cítricas,pending_manual_validation,rule_based,
0806,Grapes,Uvas,pending_manual_validation,rule_based,
0807,Melons and papayas,Melones y papayas,pending_manual_validation,rule_based,
0808,Apples & pears,Manzanas y peras,pending_manual_validation,rule_based,
0809,Peaches & cherries,Duraznos y cerezas,pending_manual_validation,rule_based,
0810,Other fresh fruit,Otras frutas frescas,pending_manual_validation,rule_based,
0811,"Fruits and nuts, frozen",Frutas y frutos secos congelados,manual_validated,manual_master_review,curated_llm_manual_review
0812,"Fruits and nuts, provisionally preserved",Frutas y frutos secos conservados provisionalmente,manual_validated,manual_master_review,curated_llm_manual_review
0813,"Fruits, dried",Frutas secas,pending_manual_validation,rule_based,
0814,Peel of citrus fruit or melons,Cáscaras de agrios o de melones,manual_validated,manual_master_review,curated_llm_manual_review
0901,Coffee,Café,pending_manual_validation,rule_based,
0902,Tea,Té,pending_manual_validation,rule_based,
0903,Mate,Mate,manual_validated,manual_master_review,curated_llm_manual_review
0904,Pepper,Pimienta,pending_manual_validation,rule_based,
0905,Vanilla,Vainilla,manual_validated,manual_master_review,curated_llm_manual_review
0906,Cinnamon,Canela,manual_validated,manual_master_review,curated_llm_manual_review
0907,Cloves,Clavo de olor,manual_validated,manual_master_review,curated_llm_manual_review
0908,Nutmeg,Nuez moscada,manual_validated,manual_master_review,curated_llm_manual_review
0909,"Anise, fennel, etc.","Anís, hinojo, etc.",manual_validated,manual_master_review,curated_llm_manual_review
0910,Spices,Especias,pending_manual_validation,rule_based,
1001,Wheat and meslin,Trigo y morcajo,pending_manual_validation,code_override,
1002,Rye,Centeno,manual_validated,manual_master_review,curated_llm_manual_review
1003,Barley,Cebada,manual_validated,manual_master_review,curated_llm_manual_review
1004,Oats,Avena,manual_validated,manual_master_review,curated_llm_manual_review
1005,Corn,Maíz,manual_validated,manual_master_review,curated_llm_manual_review
1006,Rice,Arroz,pending_manual_validation,rule_based,
1007,Grain sorghum,Sorgo de grano,manual_validated,manual_master_review,curated_llm_manual_review
1008,Other cereals,Los demás cereales,manual_validated,manual_master_review,curated_llm_manual_review
1101,Wheat or meslin flour,Harina de trigo o morcajo,pending_manual_validation,code_override,
1102,Cereal flours,Harinas de cereales,manual_validated,manual_master_review,curated_llm_manual_review
1103,Cereal meals,Harinas gruesas de cereales,pending_manual_validation,code_override,
1104,Worked cereal grains,Granos de cereal trabajados,manual_validated,manual_master_review,curated_llm_manual_review
1105,Potato flour,Harina de papa,pending_manual_validation,code_override,
1106,Flour of dried legumes,Harina de legumbres secas,pending_manual_validation,code_override,
1107,Malt,Malta,manual_validated,manual_master_review,curated_llm_manual_review
1108,Starches,Almidones,manual_validated,manual_master_review,curated_llm_manual_review
1109,Wheat gluten,Gluten de trigo,manual_validated,manual_master_review,curated_llm_manual_review
1201,Soya beans,Habas de soja,manual_validated,manual_master_review,curated_llm_manual_review
1202,Peanuts,Maní,manual_validated,manual_master_review,curated_llm_manual_review
1203,Copra,Copra,manual_validated,manual_master_review,curated_llm_manual_review
1204,Linseed,Linaza,manual_validated,manual_master_review,curated_llm_manual_review
1205,Rape or colza seeds,Semillas de colza o nabina,pending_manual_validation,rule_based,
1206,Sunflower seeds,Semillas de girasol,pending_manual_validation,rule_based,
1207,Other oil seeds,Las demás semillas oleaginosas,pending_manual_validation,rule_based,
1208,Flours of oil seeds,Harinas de semillas oleaginosas,pending_manual_validation,rule_based,
1209,Seeds used for sowing,Semillas para siembra,pending_manual_validation,rule_based,
1210,Hop cones,Conos de lúpulo,manual_validated,manual_master_review,curated_llm_manual_review
1211,"Plants used in perfumery, pharmacy or insecticide","Plantas utilizadas en perfumería, farmacia o insecticidas",pending_manual_validation,rule_based,
1212,Seaweeds & edible vegetable products,Algas y productos vegetales comestibles,pending_manual_validation,code_override,
1213,Cereal straw and husks,Paja y cascarillas de cereales,manual_validated,manual_master_review,curated_llm_manual_review
1214,Forage products,Productos forrajeros,pending_manual_validation,code_override,
1301,Lac,Goma laca,manual_validated,manual_master_review,curated_llm_manual_review
1302,Vegetable saps and extracts,Jugos y extractos vegetales,manual_validated,manual_master_review,curated_llm_manual_review
1401,Vegetable materials used for plaiting,Materias vegetales utilizadas para trenzado,pending_manual_validation,rule_based,
1402,Vegetable materials used as stuffing,Materias vegetales utilizadas como relleno,pending_manual_validation,rule_based,
1403,Vegetable materials used for brooms,Materias vegetales utilizadas para escobas,pending_manual_validation,rule_based,
1404,Vegetable products n.e.c.,Productos vegetales n.e.p.,pending_manual_validation,code_override,
1501,"Pig and poultry fat, rendered","Pig y poultry fat, rendered",pending_manual_validation,rule_based,
1502,"Bovine, sheep and goat fats","Grasas bovinas, ovinas y caprinas",pending_manual_validation,rule_based,
1503,"Lard oil, tallow oil etc.","Lard aceite, tallow aceite etc.",pending_manual_validation,rule_based,
1504,Fish oils,Aceites de pescado,pending_manual_validation,rule_based,
1505,Wool grease,Lana grease,pending_manual_validation,rule_based,
1506,Other animal fats and oils,Otras grasas y aceites animales,pending_manual_validation,rule_based,
1507,Soybean oil,Soybean aceite,pending_manual_validation,rule_based,
1508,Peanut oil,Peanut aceite,pending_manual_validation,rule_based,
1509,Olive oil,Olive aceite,pending_manual_validation,rule_based,
1510,"Olive oil, blended","Olive aceite, blended",pending_manual_validation,rule_based,
1511,Palm oil,Aceite de palma,manual_validated,manual_master_review,curated_llm_manual_review
1512,Sunflower seed oil,Sunflower semilla aceite,pending_manual_validation,rule_based,
1513,Coconut & palm kernel oil,Coco y aceite de palmiste,pending_manual_validation,rule_based,
1514,"Rapeseed, colza or mustard oil,","Rapeseed, colza o mustard aceite",pending_manual_validation,rule_based,
1515,Other vegetable fats and oils,Otros vegetal fats y aceites,pending_manual_validation,rule_based,
1516,"Vegetable fats, hydrogenated","Vegetal fats, hydrogenated",pending_manual_validation,rule_based,
1517,Margarine,Margarina,manual_validated,manual_master_review,curated_llm_manual_review
1518,"Animal or vegetable fats and oils, processed","Grasas y aceites animales o vegetales, procesados",pending_manual_validation,rule_based,
1519,Stearic acid,Ácido esteárico,manual_validated,manual_master_review,curated_llm_manual_review
1520,Glycerol,Glicerol,pending_manual_validation,rule_based,
1521,Vegetable waxes and beeswax,Vegetal waxes y beeswax,pending_manual_validation,rule_based,
1522,Degras and wax residues,Degras y wax residues,pending_manual_validation,rule_based,
1601,Sausages,Salchichas y productos similares de carne,manual_validated,manual_master_review,curated_llm_manual_review
1602,Other prepared or preserved meat,Otros preparado o conservado meat,pending_manual_validation,rule_based,
1603,Extracts and juices of meat or fish,Extractos y juices de meat o pescado,pending_manual_validation,rule_based,
1604,Prepared or preserved fish,Preparado o conservado pescado,pending_manual_validation,rule_based,
1605,Prepared aquatic invertibrates,Invertebrados acuáticos preparados,pending_manual_validation,code_override,
1701,Sugarcane & sucrose,Sugarcane y sucrose,pending_manual_validation,rule_based,
1702,Other sugars,Otros sugars,pending_manual_validation,rule_based,
1703,Molasses,Melaza,manual_validated,manual_master_review,curated_llm_manual_review
1704,Confectionery sugar,Azúcar de confitería,pending_manual_validation,rule_based,
1801,Cocoa beans,Granos de cacao,pending_manual_validation,rule_based,
1802,Cocoa residues,Residuos de cacao,pending_manual_validation,rule_based,
1803,Cocoa paste,Pasta de cacao,pending_manual_validation,rule_based,
1804,Cocoa butter,Manteca de cacao,pending_manual_validation,rule_based,
1805,Cocoa powder,Cacao en polvo,pending_manual_validation,rule_based,
1806,Chocolates,Chocolate y demás preparaciones con cacao,manual_validated,manual_master_review,curated_llm_manual_review
1901,Malt extract,Extracto de malta,manual_validated,manual_master_review,curated_llm_manual_review
1902,Pasta,Pastas alimenticias,manual_validated,manual_master_review,curated_llm_manual_review
1903,Tapioca,Tapioca,manual_validated,manual_master_review,curated_llm_manual_review
1904,Cereal foods,Alimentos a base de cereales,pending_manual_validation,rule_based,
1905,Bakery products,Productos de panadería,pending_manual_validation,code_override,
2001,Pickled fruits and vegetables,Pickled frutas y hortalizas,pending_manual_validation,rule_based,
2002,"Tomatoes, prepared or preserved","Tomatoes, preparado o conservado",pending_manual_validation,rule_based,
2003,"Mushrooms, prepared or preserved","Mushrooms, preparado o conservado",pending_manual_validation,rule_based,
2004,"Other vegetables, frozen","Otros hortalizas, congelado",pending_manual_validation,rule_based,
2005,"Other vegetables, prepared or preserved","Las demás hortalizas, preparadas o conservadas",pending_manual_validation,code_override,
2006,"Vegetables, fruits and nuts, preserved by sugar","Hortalizas, frutas y frutos secos, conservado by sugar",pending_manual_validation,rule_based,
2007,"Jams, jellies and marmalades",Mermeladas y jaleas de frutas,manual_validated,manual_master_review,curated_llm_manual_review
2008,"Fruits and nuts, otherwise prepared","Frutas y frutos secos, preparadas de otro modo",pending_manual_validation,rule_based,
2009,Fruit juices,Jugos de fruta,pending_manual_validation,rule_based,
2101,Coffee extracts,Extractos de café,pending_manual_validation,rule_based,
2102,Yeasts,Levaduras,manual_validated,manual_master_review,curated_llm_manual_review
2103,Sauces and seasonings,Sauces y seasonings,pending_manual_validation,rule_based,
2104,Soups and broths,Soups y broths,pending_manual_validation,rule_based,
2105,Ice cream,Helados,manual_validated,manual_master_review,curated_llm_manual_review
2106,Food preparations n.e.c.,Preparaciones alimenticias n.e.p.,pending_manual_validation,rule_based,
2201,Waters,Aguas,manual_validated,manual_master_review,curated_llm_manual_review
2202,"Waters, flavored or sweetened","Waters, flavored o sweetened",pending_manual_validation,rule_based,
2203,Beer,Cerveza,manual_validated,manual_master_review,curated_llm_manual_review
2204,Wine,Vino,manual_validated,manual_master_review,curated_llm_manual_review
2205,"Wine, flavored",Vino aromatizado,pending_manual_validation,rule_based,
2206,Other fermented beverages,Otros fermented beverages,pending_manual_validation,rule_based,
2207,Ethyl alcohol > 80%,Alcohol etílico > 80%,manual_validated,manual_master_review,curated_llm_manual_review
2208,Spirits < 80% alcohol,Bebidas espirituosas < 80% de alcohol,manual_validated,manual_master_review,curated_llm_manual_review
2209,Vinegars,Vinagre,manual_validated,manual_master_review,curated_llm_manual_review
2301,"Flours of fish, for animal feed",Harinas de pescado para alimentos para animales,pending_manual_validation,rule_based,
2302,Cereal residues,Residuos de cereales,manual_validated,manual_master_review,curated_llm_manual_review
2303,Starch residues,Residuos de la industria del almidón,manual_validated,manual_master_review,curated_llm_manual_review
2304,Solid soybean residues,Residuos sólidos de soja,manual_validated,manual_master_review,curated_llm_manual_review
2305,Solid peanut residues,Residuos sólidos de maní,manual_validated,manual_master_review,curated_llm_manual_review
2306,Solid vegetable oil and fat residues,Residuos sólidos de aceites y grasas vegetales,pending_manual_validation,rule_based,
2307,Wine lees,Lías de vino,manual_validated,manual_master_review,curated_llm_manual_review
2308,Vegetable materials for animal feeding,Materiales vegetales para alimentación animal,pending_manual_validation,rule_based,
2309,Animal feed,Alimentos para animales,pending_manual_validation,rule_based,
2401,Unmanufactured tobacco,Tabaco sin manufacturar,pending_manual_validation,rule_based,
2402,Cigars and cigarettes,Cigars y cigarettes,pending_manual_validation,rule_based,
2403,Other manufactured tobacco,Otros manufactured tabaco,pending_manual_validation,rule_based,
2501,Salt,Sal,manual_validated,manual_master_review,curated_llm_manual_review
2502,Unroasted iron pyrites,Unroasted hierro pyrites,pending_manual_validation,rule_based,
2503,"Sulphur, crude",Azufre en bruto,manual_validated,manual_master_review,curated_llm_manual_review
2504,Natural graphite,Grafito natural,pending_manual_validation,rule_based,
2505,Natural sands,Arenas naturales,pending_manual_validation,rule_based,
2506,Quartz,Cuarzo,manual_validated,manual_master_review,curated_llm_manual_review
2507,Kaolin,Caolín,manual_validated,manual_master_review,curated_llm_manual_review
2508,Clays,Arcillas,manual_validated,manual_master_review,curated_llm_manual_review
2509,Chalk,Creta,manual_validated,manual_master_review,curated_llm_manual_review
2510,Natural calcium phosphates,Fosfatos de calcio naturales,pending_manual_validation,rule_based,
2511,Natural barium sulfate,Sulfato de bario natural,pending_manual_validation,rule_based,
2512,Siliceous fossil meals and earths,Harinas silíceas fósiles y tierras silíceas,pending_manual_validation,code_override,
2513,Natural abrasives,Abrasivos naturales,pending_manual_validation,rule_based,
2514,Slate,Pizarra,manual_validated,manual_master_review,curated_llm_manual_review
2515,Marble,Mármol,manual_validated,manual_master_review,curated_llm_manual_review
2516,Granite,Granito,manual_validated,manual_master_review,curated_llm_manual_review
2517,Gravel,Grava y piedra triturada,manual_validated,manual_master_review,curated_llm_manual_review
2518,Dolomite,Dolomita,manual_validated,manual_master_review,curated_llm_manual_review
2519,Natural magnesia,Magnesia natural,pending_manual_validation,rule_based,
2520,Gypsum,Yeso,manual_validated,manual_master_review,curated_llm_manual_review
2521,Limstone,Caliza,manual_validated,manual_master_review,curated_llm_manual_review
2522,Quicklime,Cal viva,manual_validated,manual_master_review,curated_llm_manual_review
2523,Cements,Cementos,manual_validated,manual_master_review,curated_llm_manual_review
2524,Asbestos,Asbesto,manual_validated,manual_master_review,curated_llm_manual_review
2525,Mica,Mica,manual_validated,manual_master_review,curated_llm_manual_review
2526,Natural steatite,Esteatita natural,pending_manual_validation,rule_based,
2527,Natural cryolite,Criolita natural,pending_manual_validation,rule_based,
2528,Natural borates,Boratos naturales,pending_manual_validation,rule_based,
2529,Feldspar,Feldespato,manual_validated,manual_master_review,curated_llm_manual_review
2530,Mineral substances n.e.c.,Sustancias minerales n.e.p.,manual_validated,manual_master_review,curated_llm_manual_review
2601,Iron ores and concentrates,Hierro minerales y concentrates,pending_manual_validation,rule_based,
2602,Manganese > 47% by weight,Minerales de manganeso > 47% en peso,manual_validated,manual_master_review,curated_llm_manual_review
2603,Copper ore,Mineral de cobre,pending_manual_validation,rule_based,
2604,Nickel ore,Mineral de níquel,pending_manual_validation,rule_based,
2605,Cobalt ore,Cobalt mineral,pending_manual_validation,rule_based,
2606,Aluminum ore,Aluminio mineral,pending_manual_validation,rule_based,
2607,Lead ore,Plomo mineral,pending_manual_validation,rule_based,
2608,Zinc ore,Mineral de zinc,pending_manual_validation,rule_based,
2609,Tin ore,Mineral de estaño,pending_manual_validation,rule_based,
2610,Chromium ore,Chromium mineral,pending_manual_validation,rule_based,
2611,Tungsten ore,Tungsten mineral,pending_manual_validation,rule_based,
2612,Uranium ore,Uranium mineral,pending_manual_validation,rule_based,
2613,Molybdenum ore,Molybdenum mineral,pending_manual_validation,rule_based,
2614,Titanium ore,Titanium mineral,pending_manual_validation,rule_based,
2615,Zirconium ore,Zirconium mineral,pending_manual_validation,rule_based,
2616,Precious metal ores,Minerales de metales preciosos,pending_manual_validation,rule_based,
2617,Other ores,Otros minerales,pending_manual_validation,rule_based,
2618,Granulated iron or steel slag,Granulated hierro o acero slag,pending_manual_validation,rule_based,
2619,Iron or steel slag,Hierro o acero slag,pending_manual_validation,rule_based,
2620,"Slag, ash and residues containing metals","Slag, ash y residues containing metales",pending_manual_validation,rule_based,
2621,Other slag and ash,Las demás escorias y cenizas,pending_manual_validation,rule_based,
2701,Coal,Carbón,manual_validated,manual_master_review,curated_llm_manual_review
2702,Lignite,Lignito,manual_validated,manual_master_review,curated_llm_manual_review
2703,Peat,Turba,manual_validated,manual_master_review,curated_llm_manual_review
2704,Coke,Coque,manual_validated,manual_master_review,curated_llm_manual_review
2705,Non-petroleum gases,Gases no derivados del petróleo,manual_validated,manual_master_review,curated_llm_manual_review
2706,"Tar distilled from coal, lignite etc.","Alquitrán destilado de carbón, lignito, etc.",manual_validated,manual_master_review,curated_llm_manual_review
2707,Oils etc. from high temperature coal tar,Aceites etc. from high temperature coal tar,pending_manual_validation,rule_based,
2708,Pitch and pitch coke,Pitch y pitch coke,pending_manual_validation,rule_based,
2709,"Petroleum oils, crude","Aceites de petróleo, crudos",pending_manual_validation,rule_based,
2710,"Petroleum oils, refined","Aceites de petróleo, refinados",pending_manual_validation,rule_based,
2711,Petroleum gases,Gases de petróleo,pending_manual_validation,rule_based,
2712,Petroleum jelly,Vaselina,manual_validated,manual_master_review,curated_llm_manual_review
2713,Petroleum coke,Coque de petróleo,pending_manual_validation,rule_based,
2714,"Bitumen and asphalt, natural",Betún y asfalto naturales,pending_manual_validation,rule_based,
2715,Bituminous mixtures,Mezclas bituminosas,manual_validated,manual_master_review,curated_llm_manual_review
2716,Electrical energy,Energía eléctrica,pending_manual_validation,rule_based,
2801,Iodine,Yodo,manual_validated,manual_master_review,curated_llm_manual_review
2802,"Sulfur, sublimed or precipitated","Sulfur, sublimed o precipitated",pending_manual_validation,rule_based,
2803,Carbon,Carbono,manual_validated,manual_master_review,curated_llm_manual_review
2804,Silicon & rare gases,Silicon y rare gases,pending_manual_validation,rule_based,
2805,Rare-earth metals,Rare-earth metales,pending_manual_validation,rule_based,
2806,Hydrochloric acid,Ácido clorhídrico,manual_validated,manual_master_review,curated_llm_manual_review
2807,"Sulfiric acid, oleum",Ácido sulfúrico y oleum,manual_validated,manual_master_review,curated_llm_manual_review
2808,Sulfonitric acids,Ácidos sulfonítricos,pending_manual_validation,code_override,
2809,Phosphoric acid etc.,"Ácido fosfórico, etc.",pending_manual_validation,rule_based,
2810,Oxides of boron; boric acids,Óxidos de boro; ácidos bóricos,pending_manual_validation,code_override,
2811,Other inorganic acids,Los demás ácidos inorgánicos,pending_manual_validation,code_override,
2812,Halides of nonmetals,Halides de nonmetals,pending_manual_validation,rule_based,
2813,Sulfides of nonmetals,Sulfides de nonmetals,pending_manual_validation,rule_based,
2814,Ammonia,Amoníaco,manual_validated,manual_master_review,curated_llm_manual_review
2815,Sodium hydroxide,Hidróxido de sodio,manual_validated,manual_master_review,curated_llm_manual_review
2816,Hydroxides or peroxides of magnesium,Hidróxidos o peróxidos de magnesio,pending_manual_validation,code_override,
2817,Zinc oxide or peroxide,Óxido o peróxido de zinc,pending_manual_validation,rule_based,
2818,Aluminum oxide,Óxido de aluminio,pending_manual_validation,code_override,
2819,Chromium oxides and hydroxides,Óxidos e hidróxidos de cromo,pending_manual_validation,code_override,
2820,Manganese oxides,Óxidos de manganeso,manual_validated,manual_master_review,curated_llm_manual_review
2821,Iron oxides and hydroxides,Óxidos e hidróxidos de hierro,pending_manual_validation,code_override,
2822,Cobalt oxides and hydroxides,Óxidos e hidróxidos de cobalto,pending_manual_validation,code_override,
2823,Titanium oxides,Óxidos de titanio,manual_validated,manual_master_review,curated_llm_manual_review
2824,Lead oxides,Plomo oxides,pending_manual_validation,rule_based,
2825,"Metal base oxides, n.e.c.","Óxidos metálicos básicos, n.e.p.",pending_manual_validation,rule_based,
2826,Flourides,Fluoruros,manual_validated,manual_master_review,curated_llm_manual_review
2827,"Chlorides, bromides, iodides etc.","Cloruros, bromuros, yoduros, etc.",manual_validated,manual_master_review,curated_llm_manual_review
2828,Hyopchlorites,Hipocloritos,manual_validated,manual_master_review,curated_llm_manual_review
2829,Sodium chlorate,Clorato de sodio,manual_validated,manual_master_review,curated_llm_manual_review
2830,Sulfides; polysulfides,Sulfuros y polisulfuros,manual_validated,manual_master_review,curated_llm_manual_review
2831,Dithionites and sulfoxylates,Dithionites y sulfoxylates,pending_manual_validation,rule_based,
2832,Sulfites,Sulfitos,manual_validated,manual_master_review,curated_llm_manual_review
2833,Sulfates,Sulfatos,manual_validated,manual_master_review,curated_llm_manual_review
2834,"Nitrites, nitrates",Nitritos y nitratos,manual_validated,manual_master_review,curated_llm_manual_review
2835,Phosphates,Fosfatos,pending_manual_validation,rule_based,
2836,Carbonates,Carbonatos,manual_validated,manual_master_review,curated_llm_manual_review
2837,Cyanides,Cianuros,manual_validated,manual_master_review,curated_llm_manual_review
2838,"Fulminates, cyanates and thiocyanates","Fulminates, cyanates y thiocyanates",pending_manual_validation,rule_based,
2839,Silicates,Silicatos,manual_validated,manual_master_review,curated_llm_manual_review
2840,Borates,Boratos,pending_manual_validation,rule_based,
2841,Salts of oxometallic acids,Sales de ácidos oxometálicos,pending_manual_validation,rule_based,
2842,Other salts of acids,Las demás sales de ácidos,pending_manual_validation,code_override,
2843,Compounds of precious metals,Compounds de preciosos metales,pending_manual_validation,rule_based,
2844,Uranium,Uranio,manual_validated,manual_master_review,curated_llm_manual_review
2845,Non-radioactive isotopes,Isótopos no radiactivos,manual_validated,manual_master_review,curated_llm_manual_review
2846,Compounds of rare-earth metals,Compuestos de metales de tierras raras,pending_manual_validation,rule_based,
2847,Hydrogen peroxide,Peróxido de hidrógeno,manual_validated,manual_master_review,curated_llm_manual_review
2848,Phosphides,Fosfuros,pending_manual_validation,rule_based,
2849,Carbides,Carburos,manual_validated,manual_master_review,curated_llm_manual_review
2850,"Hydrides, nitrides, azides, silicides and borides","Hydrides, nitrides, azides, silicides y borides",pending_manual_validation,rule_based,
2851,"Inorganic compounds, liquid or compressed air","Inorganic compounds, liquid o comprimido air",pending_manual_validation,rule_based,
2901,Acyclic hydrocarbons,Hidrocarburos acíclicos,manual_validated,manual_master_review,curated_llm_manual_review
2902,Cyclic hydrocarbons,Hidrocarburos cíclicos,manual_validated,manual_master_review,curated_llm_manual_review
2903,Halogenated derivatives of hydrocarbons,Derivados halogenados de hidrocarburos,pending_manual_validation,code_override,
2904,"Sulfonated, nitrated derivatives of hydrocarbons",Derivados sulfonados o nitrados de hidrocarburos,pending_manual_validation,code_override,
2905,Acyclic alcohols,Alcoholes acíclicos,manual_validated,manual_master_review,curated_llm_manual_review
2906,Cyclic alcohols,Alcoholes cíclicos,manual_validated,manual_master_review,curated_llm_manual_review
2907,"Phenols, phenol-alcohols",Fenoles y fenol-alcoholes,manual_validated,manual_master_review,curated_llm_manual_review
2908,Derivatives of phenols,Derivados de fenoles,pending_manual_validation,code_override,
2909,Ethers,Éteres,manual_validated,manual_master_review,curated_llm_manual_review
2910,Epoxides,Epóxidos,manual_validated,manual_master_review,curated_llm_manual_review
2911,Acetals and hemiacetals,Acetals y hemiacetals,pending_manual_validation,rule_based,
2912,Aldehydes,Aldehídos,manual_validated,manual_master_review,curated_llm_manual_review
2913,Derivatives of aldehydes,Derivados de aldehídos,pending_manual_validation,code_override,
2914,Ketones and quinones,Ketones y quinones,pending_manual_validation,rule_based,
2915,Saturated acyclic monocarboxylic acids,Ácidos monocarboxílicos acíclicos saturados,pending_manual_validation,code_override,
2916,Unsaturated acyclic monocarboxylic acids,Ácidos monocarboxílicos acíclicos insaturados,pending_manual_validation,code_override,
2917,Polycarboxylic acids,Ácidos policarboxílicos,pending_manual_validation,code_override,
2918,Carboxylic acids with additional oxygen function,Ácidos carboxílicos con función oxigenada adicional,pending_manual_validation,code_override,
2919,Phosporic esters,Ésteres fosfóricos,manual_validated,manual_master_review,curated_llm_manual_review
2920,Esters of other inorganic acids of nonmetals,Ésteres de otros ácidos inorgánicos de no metales,pending_manual_validation,code_override,
